Date,Workers Remittances (Million USD)
JUL-2005,313.14
AUG-2005,348.41
SEP-2005,341.1
OCT-2005,372.5
NOV-2005,308.81
DEC-2005,371.24
JAN-2006,391.32
FEB-2006,358.13
MAR-2006,423.56
APR-2006,401.47
MAY-2006,506.57
JUN-2006,463.87
JUL-2006,377.01
AUG-2006,434.84
SEP-2006,421.74
OCT-2006,410.61
NOV-2006,448.61
DEC-2006,475.21
JAN-2007,391.33
FEB-2007,457.18
MAR-2007,520.24
APR-2007,513.35
MAY-2007,537.98
JUN-2007,505.55
JUL-2007,495.69
AUG-2007,489.51
SEP-2007,516.05
OCT-2007,580.24
NOV-2007,505.58
DEC-2007,479.26
JAN-2008,557.07
FEB-2008,502.76
MAR-2008,602.21
APR-2008,590.71
MAY-2008,584.75
JUN-2008,547.41
JUL-2008,627.21
AUG-2008,592.3
SEP-2008,660.35
OCT-2008,466.13
NOV-2008,620.52
DEC-2008,673.5
JAN-2009,637.3
FEB-2009,641.32
MAR-2009,739.43
APR-2009,697.52
MAY-2009,720.68
JUN-2009,735.17
JUL-2009,744.85
AUG-2009,780.53
SEP-2009,806.12
OCT-2009,758.29
NOV-2009,742.79
DEC-2009,697.6
JAN-2010,667.9
FEB-2010,589.03
MAR-2010,763.71
APR-2010,755.77
MAY-2010,757.86
JUN-2010,841.44
JUL-2010,791.18
AUG-2010,933.06
SEP-2010,922.06
OCT-2010,855.11
NOV-2010,926.89
DEC-2010,863.13
JAN-2011,826.57
FEB-2011,845.28
MAR-2011,1052.9
APR-2011,1030.43
MAY-2011,1049.8
JUN-2011,1104.56
JUL-2011,1096.31
AUG-2011,1310.47
SEP-2011,890.42
OCT-2011,1017.87
NOV-2011,924.92
DEC-2011,1085.35
JAN-2012,1110.64
FEB-2012,1156.81
MAR-2012,1143.18
APR-2012,1141.02
MAY-2012,1192.11
JUN-2012,1117.52
JUL-2012,1204.71
AUG-2012,1258.98
SEP-2012,1135.42
OCT-2012,1365.1
NOV-2012,1017.83
DEC-2012,1134.7
JAN-2013,1089.64
FEB-2013,1028.38
MAR-2013,1119.15
APR-2013,1215.9
MAY-2013,1185.65
JUN-2013,1166.19
JUL-2013,1404.69
AUG-2013,1240.14
SEP-2013,1284.22
OCT-2013,1348.03
NOV-2013,1130.41
DEC-2013,1384.94
JAN-2014,1245.97
FEB-2014,1209.77
MAR-2014,1337.89
APR-2014,1311.85
MAY-2014,1440.47
JUN-2014,1499.33
JUL-2014,1675.77
AUG-2014,1350.86
SEP-2014,1748.49
OCT-2014,1409.22
NOV-2014,1343.76
DEC-2014,1634.06
JAN-2015,1403.74
FEB-2015,1420.54
MAR-2015,1608.51
APR-2015,1640.05
MAY-2015,1663.32
JUN-2015,1821.68
JUL-2015,1663.47
AUG-2015,1527.19
SEP-2015,1775.15
OCT-2015,1541.21
NOV-2015,1565.19
DEC-2015,1616.13
JAN-2016,1466.38
FEB-2016,1521.92
MAR-2016,1711.15
APR-2016,1656.46
MAY-2016,1799.43
JUN-2016,2073.08
JUL-2016,1360.28
AUG-2016,1767.73
SEP-2016,1612.36
OCT-2016,1561.02
NOV-2016,1618.35
DEC-2016,1585.37
JAN-2017,1488.37
FEB-2017,1417.06
MAR-2017,1694.49
APR-2017,1538.94
MAY-2017,1867.15
JUN-2017,1840.28
JUL-2017,1555.65
AUG-2017,1975.04
SEP-2017,1314.1
OCT-2017,1677.02
NOV-2017,1596.47
DEC-2017,1745.75
JAN-2018,1662.25
FEB-2018,1473.07
MAR-2018,1803.6
APR-2018,1678.87
MAY-2018,1804.08
JUN-2018,1627.65
JUL-2018,1974.35
AUG-2018,2083.08
SEP-2018,1480.3
OCT-2018,2052.55
NOV-2018,1657
DEC-2018,1740.54
JAN-2019,1735.85
FEB-2019,1573.68
MAR-2019,1733.5
APR-2019,1770.17
MAY-2019,2302.02
JUN-2019,1636.37
JUL-2019,2028.28
AUG-2019,1683.95
SEP-2019,1740.25
OCT-2019,2001.22
NOV-2019,1821.45
DEC-2019,2097.07
JAN-2020,1906.98
FEB-2020,1824.83
MAR-2020,1904.68
APR-2020,1785.1
MAY-2020,1865.23
JUN-2020,2473.27
JUL-2020,2764.960828
AUG-2020,2096.213734
SEP-2020,2285.022573
OCT-2020,2284.10714
NOV-2020,2332.147257
DEC-2020,2421.721535
JAN-2021,2268.742601
FEB-2021,2260.322735
MAR-2021,2723.218474
APR-2021,2792.557929
MAY-2021,2506.658351
JUN-2021,2714.234446
JUL-2021,2736.077681
AUG-2021,2682.62743
SEP-2021,2779.892769
OCT-2021,2628.586368
NOV-2021,2459.709253
DEC-2021,2520.352433
JAN-2022,2180.433945
FEB-2022,2196.168428
MAR-2022,2834.767043
APR-2022,3124.369515
MAY-2022,2346.240221
JUN-2022,2789.577806
JUL-2022,2594.295739
AUG-2022,2815.673902
SEP-2022,2487.225612
OCT-2022,2247.62424
NOV-2022,2173.036496
DEC-2022,2099.787498
JAN-2023,1900.087935
FEB-2023,1990.345686
MAR-2023,2536.682781
APR-2023,2198.302053
MAY-2023,2102.666259
JUN-2023,2187.080838
JUL-2023,2029.041389
AUG-2023,2094.507416
SEP-2023,2208.130749
OCT-2023,2463.117162
NOV-2023,2258.544029
DEC-2023,2381.853131
JAN-2024,2397.870065
FEB-2024,2250.147228
MAR-2024,2953.980816
APR-2024,2813.267052
MAY-2024,3242.226877
JUN-2024,3158.138862
JUL-2024,2993.99974
AUG-2024,2942.812184
SEP-2024,2859.516117
OCT-2024,3054.550962
NOV-2024,2915.348668
DEC-2024,3080.397524
JAN-2025,3003.375873
FEB-2025,3126.670931
MAR-2025,4053.579523
APR-2025,3176.928508
MAY-2025,3685.588476
JUN-2025,3406.389361
JUL-2025,3214.514462
AUG-2025,3138.174787
SEP-2025,3184.123961
OCT-2025,3420
NOV-2025,3188.34
DEC-2025,3592.44
JAN-2026,3464.47
FEB-2026,3287.872847
MAR-2026,3831.405102
APR-2026,3537.025479
MAY-2026,4252.157161
JUN-2026,3474.556764
JUL-2026,3630.476883
AUG-2026,3656.33767
